SR_Pcode,State_Region,Tsp_Pcode,Township,Facility,Date,Male,Female,Total
MMR008,Bago,MMR008012,Nattalin,အထက (နတ္တလင်း),29/3/2020,17,4,21
MMR008,Bago,MMR008012,Nattalin,အထက (တာပွန်),29/3/2020,14,3,17
MMR008,Bago,MMR008012,Nattalin,အလက (ပွတ်စု),29/3/2020,13,0,13
MMR008,Bago,MMR008012,Nattalin,အထက (ချဉ်ယုတ်ကွင်း),29/3/2020,21,6,27
MMR008,Bago,MMR008012,Nattalin,အထက (ပေါက်တုန်း),29/3/2020,2,0,2
MMR008,Bago,MMR008012,Nattalin,အထက (ဒမငယ်),29/3/2020,22,2,24
MMR008,Bago,MMR008012,Nattalin,အထက (ပဲမခမ်း),29/3/2020,4,1,5
MMR008,Bago,MMR008012,Nattalin,အထက (အောင်ဇေယျာ),29/3/2020,16,2,18
MMR008,Bago,MMR008012,Nattalin,အထက (ကြိုးကြာကန်),29/3/2020,1,0,1
MMR008,Bago,MMR008012,Nattalin,ရေမွေး,29/3/2020,8,0,8
MMR008,Bago,MMR008012,Nattalin,အထက (နတ္တလင်း),30/3/2020,2,1,3
MMR008,Bago,MMR008012,Nattalin,အထက (တာပွန်),30/3/2020,2,0,2
MMR008,Bago,MMR008012,Nattalin,အလက (ပွတ်စု),30/3/2020,0,0,0
MMR008,Bago,MMR008012,Nattalin,အထက (ချဉ်ယုတ်ကွင်း),30/3/2020,0,0,0
MMR008,Bago,MMR008012,Nattalin,အထက (ပေါက်တုန်း),30/3/2020,3,0,3
MMR008,Bago,MMR008012,Nattalin,အထက (ဒမငယ်),30/3/2020,1,0,1
MMR008,Bago,MMR008012,Nattalin,အထက (ပဲမခမ်း),30/3/2020,1,0,1
MMR008,Bago,MMR008012,Nattalin,အထက (အောင်ဇေယျာ),30/3/2020,1,0,1
MMR008,Bago,MMR008012,Nattalin,အထက (ကြိုးကြာကန်),30/3/2020,0,0,0
MMR008,Bago,MMR008012,Nattalin,ရေမွေး,30/3/2020,0,0,0
MMR008,Bago,MMR008009,Minhla,အထက (မြို့ပြင်),28/3/2020,23,7,30
MMR008,Bago,MMR008009,Minhla,အထက (စစ်ကွင်း),28/3/2020,22,14,36
MMR008,Bago,MMR008009,Minhla,အထက (လက်ပံရေကျော်),28/3/2020,19,8,27
MMR008,Bago,MMR008009,Minhla,အထက-ခွဲ (ကိုင်ပြင်ကြီး),28/3/2020,20,,20
MMR008,Bago,MMR008009,Minhla,အထက (စိန်ကန့်လန့်),28/3/2020,35,7,42
MMR008,Bago,MMR008009,Minhla,အထက (ရွှေလောင်း),28/3/2020,39,8,47
MMR008,Bago,MMR008009,Minhla,အလက (ရှားတောကွင်း),28/3/2020,13,6,19
MMR008,Bago,MMR008009,Minhla,အလက (ဂန့်ဂေါ်ပင်),28/3/2020,29,10,39
MMR008,Bago,MMR008010,Okpho,အထကအုတ်ဖို,30/3/2020,77,23,100
MMR008,Bago,MMR008010,Okpho,အထက အိုးသည်ကုန်,30/3/2020,35,9,44
MMR008,Bago,MMR008010,Okpho,အထကအေးမြသာယာ,30/3/2020,30,4,34
MMR008,Bago,MMR008010,Okpho,အလက လယ်ဦးစု ( လက်ပတောအုပ်စု),30/3/2020,15,10,25
MMR008,Bago,MMR008010,Okpho,အထက( ခွဲ) ကိုင်းကလေ,30/3/2020,21,4,25
