SR_Pcode,State_Region,Tsp_Pcode,Township,Country,Returnees
MMR008,Bago (West),MMR008012,Nattalin,Thailand,196
MMR008,Bago (West),MMR008012,Nattalin,China,18
MMR008,Bago (West),MMR008012,Nattalin,Others,20
MMR008,Bago (West),MMR008009,Minhla,Thailand,252
MMR008,Bago (West),MMR008009,Minhla,China,4
MMR008,Bago (West),MMR008009,Minhla,Singapore,1
MMR008,Bago (West),MMR008009,Minhla,Korea,1
MMR008,Bago (West),MMR008009,Minhla,Laos,2
MMR007,Bago (East),MMR008101,Taungoo,Thailand,369
MMR007,Bago (East),MMR008101,Taungoo,China,53
MMR007,Bago (East),MMR008101,Taungoo,Korea,5
MMR007,Bago (East),MMR008101,Taungoo,Malaysia,6
MMR007,Bago (East),MMR008101,Taungoo,Singapore,18
MMR007,Bago (East),MMR008101,Taungoo,Japan,1
MMR007,Bago (East),MMR008101,Taungoo,Others,145
